cabal_name,x_handle,role,confidence
Fapital,@Fapital3,insider,confirmed
Cabana,@Cabanasaur,dev,strong
Frog,@frogmaster,dev,confirmed
JAMIE,@cryptojamie7,insider,confirmed
JAMIE,@EduRio_,insider,confirmed
JAMIE,@Ace0nchain,insider,confirmed
JAMIE,@TeeATM1,insider,confirmed
JAMIE,@PancakeXBT,insider,confirmed
JAMIE,@chamaxyzz,insider,confirmed
JAMIE,@xbrazilzz,insider,confirmed
JAMIE,@MrKillerByte,insider,confirmed
JAMIE,@blockzero,insider,confirmed
JAMIE,@98sThoughts,insider,confirmed
JAMIE,@ZicoGripto,insider,confirmed
JAMIE,@mauritsneo,insider,confirmed
CABANA,@Cabanasaur,dev,confirmed
CABANA,@reptheset55,insider,confirmed
CABANA,@lethal_affu,insider,confirmed
CABANA,@renzosalpha,insider,confirmed
CABANA,@goatdsalmon,insider,confirmed
CABANA,@zinceth,insider,confirmed
CABANA,@tradeboicarti16,insider,confirmed
CABANA,@lilcalfmuscle,insider,confirmed
CABANA, @jpeggler, insider, confirmed
CABANA, @Chairman_DN, insider, confirmed
DMT,@0xleonidas__,insider,confirmed
DMT,@lilcalfmuscle,insider,confirmed
DMT,@DegenJer,insider,confirmed
DMT,@ninjaklan_,insider,confirmed
DMT,@lizardvampire,insider,confirmed
DMT,@NFTwap,insider,confirmed
DMT,@glebble,insider,confirmed
DMT,@bamatism,insider,confirmed
Bobo,@rekt_tekashi,insider,strong
Bobo,@ugliestduck,insider,strong
Bobo,@Bountybeety1,shiller,strong
Bobo,@Vitamul,insider,strong
JAMIE,@zey_placeholder,insider,confirmed
JAMIE,@nabil_placeholder,insider,confirmed
JAMIE,@desheik_placeholder,insider,confirmed
JAMIE,@tony_placeholder,insider,confirmed
JAMIE,@arthur_placeholder,insider,confirmed
JAMIE,@seth_placeholder,insider,confirmed
JAMIE,@stark_placeholder,insider,confirmed
